Cod_Nodo,Cod_Reporta_a_nodo,unidad,reporta_a,Cod_nodo2,EstructuraPrincipal,Gastos,RecursosHumanos,Jurisdiccion,Subjurisdiccion
A566,A532,Secretaría de Asuntos Internacionales para la Defensa,Ministerio de Defensa,A566,1,0,0,,
A567,A537,Secretaría de Calidad en Salud,Ministerio de Salud,A567,1,0,0,,
A568,A555,Secretaría de Comunicación y Medios,Presidencia de la Nación,A568,1,0,0,,
A569,A538,Secretaría de Coordinación Administrativa,Ministerio de Seguridad,A569,1,0,0,,
A570,A534,Secretaría de Coordinación de Energía y Minería,Ministerio de Economía,A570,1,0,0,,
A571,A534,Secretaría de Coordinación de Infraestructura,Ministerio de Economía,A571,1,0,0,,
A572,A534,Secretaría de Coordinación de Producción,Ministerio de Economía,A572,1,0,0,,
A573,A531,Secretaría de Coordinación Legal y Administrativa,Ministerio de Capital Humano,A573,1,0,0,,
A574,A533,Secretaría de Coordinación Legal y Administrativa,Ministerio de Desregulación y Transformación del Estado,A574,1,0,0,,
A575,A801,Secretaría de Coordinación Legal y Administrativa,Vicejefatura de Gabinete Ejecutiva,A575,1,0,0,,
A576,A800,Secretaría de Coordinación Legal y Administrativa de Interior,Vicejefatura de Gabinete del Interior,A576,1,0,0,,
A577,A536,Secretaría de Coordinación y Planificación Exterior,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",A577,1,0,0,,
A578,A536,Secretaría de Culto y Civilización,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",A578,1,0,0,,
A579,A531,Secretaría de Cultura,Ministerio de Capital Humano,A579,1,0,0,Ministerio de Cultura,Ministerio de Cultura
A580,A535,Secretaría de Derechos Humanos,Ministerio de Justicia,A580,1,0,0,,
A581,A534,"Secretaría de Desarrollo Territorial, Hábitat y Vivienda",Ministerio de Economía,A581,1,0,0,Ministerio de Desarrollo Territorial y Hábitat,Ministerio de Desarrollo Territorial y Hábitat
A582,A531,Secretaría de Educación,Ministerio de Capital Humano,A582,1,5928600000000,1161,Ministerio de Educación,Ministerio de Educación
A583,A534,Secretaría de Energía,Ministerio de Economía,A583,1,0,0,,
A584,A532,Secretaría de Estrategia y Asuntos Militares,Ministerio de Defensa,A584,1,0,0,,
A585,A534,Secretaría de Finanzas,Ministerio de Economía,A585,1,0,0,,
A586,A537,Secretaría de Gestión Administrativa,Ministerio de Salud,A586,1,0,0,,
A587,A534,Secretaría de Hacienda,Ministerio de Economía,A587,1,0,0,,
A588,A534,Secretaría de Industria y Comercio,Ministerio de Economía,A588,1,0,0,,
A589,A529,"Secretaría de Innovación, Ciencia y Tecnología",Jefatura de Gabinete de Ministros,A589,1,136244000000,457,"Ministerio de Ciencia, Tecnología e Innovación","Ministerio de Ciencia, Tecnología e Innovación"
A590,A555,Secretaría de Inteligencia de Estado,Presidencia de la Nación,A590,1,197237000000,5,Presidencia de la Nación,Agencia Federal de Inteligencia
A591,A532,"Secretaría de Investigación, Política Industrial y Producción para la Defensa",Ministerio de Defensa,A591,1,0,0,,
A592,A535,Secretaría de Justicia,Ministerio de Justicia,A592,1,0,0,,
A593,A534,"Secretaría de la Pequeña y Mediana Empresa, Emprendedores y Economía del Conocimiento",Ministerio de Economía,A593,1,0,0,,
A594,A538,Secretaría de Lucha contra el Narcotráfico y la Criminalidad Organizada,Ministerio de Seguridad,A594,1,0,0,,
A595,A536,"Secretaría de Malvinas, Antártida, Política Oceánica y Atlántico Sur","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",A595,1,0,0,,
A596,A534,Secretaría de Minería,Ministerio de Economía,A596,1,0,0,,
A597,A534,Secretaría de Obras Públicas,Ministerio de Economía,A597,1,0,0,Ministerio de Obras Públicas,Ministerio de Obras Públicas
A598,A555,Secretaría de Planeamiento Estratégico Normativo,Presidencia de la Nación,A598,1,0,0,,
A599,A534,Secretaría de Política Económica,Ministerio de Economía,A599,1,0,0,,
A600,A537,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina,Ministerio de Salud,A600,1,0,0,Jefatura de Gabinete de Ministros,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR)
A601,A555,Secretaría de Prensa,Presidencia de la Nación,A601,1,0,0,Presidencia de la Nación,Secretaría de Comunicación y Prensa
A602,A800,Secretaría de Provincias y Municipios,Vicejefatura de Gabinete del Interior,A602,1,0,0,,
A603,A536,Secretaría de Relaciones Económicas Internacionales,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",A603,1,0,0,,
A604,A536,Secretaría de Relaciones Exteriores,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",A604,1,0,0,,
A605,A801,Secretaría de Relaciones Parlamentarias e Institucionales,Vicejefatura de Gabinete Ejecutiva,A605,1,0,0,,
A606,A538,Secretaría de Seguridad,Ministerio de Seguridad,A606,1,0,0,,
A607,A533,Secretaría de Simplificación del Estado,Ministerio de Desregulación y Transformación del Estado,A607,1,0,0,,
A608,A531,"Secretaría de Trabajo, Empleo y Seguridad Social",Ministerio de Capital Humano,A608,1,1166719000000,3293,"Ministerio de Trabajo, Empleo y Seguridad Social","Ministerio de Trabajo, Empleo y Seguridad Social"
A609,A533,Secretaría de Transformación del Estado y Función Pública,Ministerio de Desregulación y Transformación del Estado,A609,1,0,0,,
A610,A534,Secretaría de Transporte,Ministerio de Economía,A610,1,0,0,Ministerio de Transporte,Ministerio de Transporte
A611,A800,"Secretaría de Turismo, Ambiente y Deportes",Vicejefatura de Gabinete del Interior,A611,1,0,0,,
A612,A801,Secretaría Ejecutiva,Vicejefatura de Gabinete Ejecutiva,A612,1,0,0,,
A613,A564,Secretaría Ejecutiva del Consejo de Seguridad Interior,Secretaría de Articulación Federal,A613,1,0,0,,
A614,A555,Secretaría General de la Presidencia de la Nación,Presidencia de la Nación,A614,1,116667000000,796,Presidencia de la Nación,Secretaría General de la Presidencia de la Nación
A615,A534,Secretaría Legal y Administrativa,Ministerio de Economía,A615,1,0,0,,
A616,A555,Secretaría Legal y Técnica,Presidencia de la Nación,A616,1,11320000000,488,Presidencia de la Nación,Secretaría Legal y Técnica
A617,A531,"Secretaría Nacional de Niñez, Adolescencia y Familia",Ministerio de Capital Humano,A617,1,4040913000000,4984,Ministerio de Capital Humano,"Secretaría Nacional de Niñez, Adolescencia y Familia"
A618,A591,Servicio de Hidrografía Naval,"Secretaría de Investigación, Política Industrial y Producción para la Defensa",A618,1,0,0,,
A619,A590,Servicio de Inteligencia Argentino - SIA,Secretaría de Inteligencia de Estado,A619,1,0,0,,
A620,A582,Servicio de Radio y Televisión de la Universidad Nacional de Córdoba S.A.,Secretaría de Educación,A620,1,0,0,,
A621,A596,Servicio Geológico Minero Argentino,Secretaría de Minería,A621,1,10382000000,644,Ministerio de Desarrollo Productivo,Servicio Geológico Minero Argentino
